2023-08-22 19:58:15.532031 - Street: 1, Velocity: 34.0, Num Cars: 17
2023-08-22 19:58:16.256281 - Street: 2, Velocity: 0.0, Num Cars: 10
2023-08-22 19:58:17.536440 - Street: 1, Velocity: 22.0, Num Cars: 18
2023-08-22 19:58:18.261437 - Street: 2, Velocity: 0.0, Num Cars: 11
2023-08-22 19:58:19.543724 - Street: 1, Velocity: 19.666666666666668, Num Cars: 19
2023-08-22 19:58:20.265168 - Street: 2, Velocity: 0.0, Num Cars: 12
2023-08-22 19:58:21.550131 - Street: 1, Velocity: 29.5, Num Cars: 20
2023-08-22 19:58:22.269014 - Street: 2, Velocity: 0.0, Num Cars: 13
2023-08-22 19:58:23.556737 - Street: 1, Velocity: 32.0, Num Cars: 21
2023-08-22 19:58:24.272343 - Street: 2, Velocity: 0.0, Num Cars: 14
2023-08-22 19:58:25.561503 - Street: 1, Velocity: 37.333333333333336, Num Cars: 22
2023-08-22 19:58:26.276079 - Street: 2, Velocity: 0.0, Num Cars: 15
2023-08-22 19:58:27.566563 - Street: 1, Velocity: 39.142857142857146, Num Cars: 23
2023-08-22 19:58:28.280646 - Street: 2, Velocity: 0.0, Num Cars: 16
2023-08-22 19:58:29.571215 - Street: 1, Velocity: 42.0, Num Cars: 24
2023-08-22 19:58:30.284367 - Street: 2, Velocity: 0.0, Num Cars: 17
2023-08-22 19:58:31.574265 - Street: 1, Velocity: 40.77777777777778, Num Cars: 25
2023-08-22 19:58:32.288701 - Street: 2, Velocity: 0.0, Num Cars: 18
2023-08-22 19:58:33.578908 - Street: 1, Velocity: 40.2, Num Cars: 26
2023-08-22 19:58:34.293339 - Street: 2, Velocity: 0.0, Num Cars: 19
2023-08-22 19:58:35.583186 - Street: 1, Velocity: 43.0, Num Cars: 27
2023-08-22 19:58:36.297464 - Street: 2, Velocity: 0.0, Num Cars: 20
2023-08-22 19:58:37.586276 - Street: 1, Velocity: 46.1, Num Cars: 28
2023-08-22 19:58:38.301666 - Street: 2, Velocity: 0.0, Num Cars: 21
2023-08-22 19:58:39.590166 - Street: 1, Velocity: 47.5, Num Cars: 29
2023-08-22 19:58:40.305615 - Street: 2, Velocity: 0.0, Num Cars: 22
2023-08-22 19:58:41.594138 - Street: 1, Velocity: 46.9, Num Cars: 30
2023-08-22 19:58:42.309957 - Street: 2, Velocity: 0.0, Num Cars: 23
2023-08-22 19:58:43.598290 - Street: 1, Velocity: 46.9, Num Cars: 31
2023-08-22 19:58:44.313887 - Street: 2, Velocity: 0.0, Num Cars: 24
2023-08-22 19:58:45.603409 - Street: 1, Velocity: 44.2, Num Cars: 32
2023-08-22 19:58:46.318158 - Street: 2, Velocity: 0.0, Num Cars: 25
2023-08-22 19:58:47.608452 - Street: 1, Velocity: 41.0, Num Cars: 33
2023-08-22 19:58:48.322219 - Street: 2, Velocity: 0.0, Num Cars: 26
2023-08-22 19:58:49.613127 - Street: 1, Velocity: 38.3, Num Cars: 34
2023-08-22 19:58:50.326369 - Street: 2, Velocity: 0.0, Num Cars: 27
2023-08-22 19:58:51.618154 - Street: 1, Velocity: 41.9, Num Cars: 35
2023-08-22 19:58:52.329907 - Street: 2, Velocity: 0.0, Num Cars: 28
2023-08-22 19:58:53.623192 - Street: 1, Velocity: 41.8, Num Cars: 36
2023-08-22 19:58:54.334088 - Street: 2, Velocity: 0.0, Num Cars: 29
2023-08-22 19:58:55.627037 - Street: 1, Velocity: 37.5, Num Cars: 37
2023-08-22 19:58:56.338394 - Street: 2, Velocity: 0.0, Num Cars: 30
2023-08-22 19:58:57.629779 - Street: 1, Velocity: 39.9, Num Cars: 38
2023-08-22 19:58:58.342607 - Street: 2, Velocity: 0.0, Num Cars: 31
2023-08-22 19:58:59.633781 - Street: 1, Velocity: 38.5, Num Cars: 39
2023-08-22 19:59:00.346432 - Street: 2, Velocity: 0.0, Num Cars: 32
2023-08-22 19:59:01.638270 - Street: 1, Velocity: 39.1, Num Cars: 40
2023-08-22 19:59:02.350843 - Street: 2, Velocity: 0.0, Num Cars: 33
2023-08-22 19:59:03.642198 - Street: 1, Velocity: 41.2, Num Cars: 41
2023-08-22 19:59:04.354948 - Street: 2, Velocity: 0.0, Num Cars: 34
2023-08-22 19:59:05.646423 - Street: 1, Velocity: 43.6, Num Cars: 42
2023-08-22 19:59:06.359113 - Street: 2, Velocity: 0.0, Num Cars: 35
2023-08-22 19:59:07.651044 - Street: 1, Velocity: 44.3, Num Cars: 43
2023-08-22 19:59:08.363393 - Street: 2, Velocity: 0.0, Num Cars: 36
2023-08-22 19:59:09.654038 - Street: 1, Velocity: 44.2, Num Cars: 44
2023-08-22 19:59:10.367950 - Street: 2, Velocity: 0.0, Num Cars: 37
2023-08-22 19:59:11.658179 - Street: 1, Velocity: 40.0, Num Cars: 45
2023-08-22 19:59:12.372185 - Street: 2, Velocity: 0.0, Num Cars: 38
2023-08-22 19:59:13.663307 - Street: 1, Velocity: 39.2, Num Cars: 46
2023-08-22 19:59:14.376904 - Street: 2, Velocity: 0.0, Num Cars: 39
2023-08-22 19:59:15.668174 - Street: 1, Velocity: 41.5, Num Cars: 47
2023-08-22 19:59:16.380762 - Street: 2, Velocity: 0.0, Num Cars: 40
2023-08-22 19:59:17.672512 - Street: 1, Velocity: 41.6, Num Cars: 48
2023-08-22 19:59:18.385729 - Street: 2, Velocity: 0.0, Num Cars: 41
2023-08-22 19:59:19.677307 - Street: 1, Velocity: 43.9, Num Cars: 49
2023-08-22 19:59:20.389570 - Street: 2, Velocity: 0.0, Num Cars: 42
2023-08-22 19:59:21.682107 - Street: 1, Velocity: 41.3, Num Cars: 50
2023-08-22 19:59:22.393874 - Street: 2, Velocity: 0.0, Num Cars: 43
2023-08-22 19:59:23.686311 - Street: 1, Velocity: 39.7, Num Cars: 51
2023-08-22 19:59:24.397884 - Street: 2, Velocity: 0.0, Num Cars: 44
2023-08-22 19:59:25.690478 - Street: 1, Velocity: 35.5, Num Cars: 52
2023-08-22 19:59:26.401833 - Street: 2, Velocity: 0.0, Num Cars: 45
2023-08-22 19:59:27.694372 - Street: 1, Velocity: 36.1, Num Cars: 53
2023-08-22 19:59:28.406068 - Street: 2, Velocity: 0.0, Num Cars: 46
2023-08-22 19:59:29.698335 - Street: 1, Velocity: 35.1, Num Cars: 54
2023-08-22 19:59:30.410512 - Street: 2, Velocity: 0.0, Num Cars: 47
2023-08-22 19:59:31.701992 - Street: 1, Velocity: 35.6, Num Cars: 55
2023-08-22 19:59:32.414666 - Street: 2, Velocity: 0.0, Num Cars: 48
2023-08-22 19:59:33.706591 - Street: 1, Velocity: 39.0, Num Cars: 56
2023-08-22 19:59:34.419587 - Street: 2, Velocity: 0.0, Num Cars: 49
2023-08-22 19:59:35.709989 - Street: 1, Velocity: 41.2, Num Cars: 57
2023-08-22 19:59:36.422031 - Street: 2, Velocity: 0.0, Num Cars: 50
2023-08-22 19:59:37.714977 - Street: 1, Velocity: 38.9, Num Cars: 58
2023-08-22 19:59:38.425893 - Street: 2, Velocity: 0.0, Num Cars: 51
2023-08-22 19:59:38.428400 - Congestion Detected on Street 2
2023-08-22 19:59:38.430192 - Invalid Additional Time or Semaforo is not open. No adjustment.
2023-08-22 19:59:39.719036 - Street: 1, Velocity: 37.1, Num Cars: 59
2023-08-22 19:59:40.429930 - Street: 2, Velocity: 0.0, Num Cars: 52
2023-08-22 19:59:41.723225 - Street: 1, Velocity: 40.7, Num Cars: 60
2023-08-22 19:59:42.434215 - Street: 2, Velocity: 0.0, Num Cars: 53
2023-08-22 19:59:43.728024 - Street: 1, Velocity: 37.9, Num Cars: 61
2023-08-22 19:59:44.438106 - Street: 2, Velocity: 0.0, Num Cars: 54
2023-08-22 19:59:45.733374 - Street: 1, Velocity: 40.7, Num Cars: 62
2023-08-22 19:59:46.442275 - Street: 2, Velocity: 0.0, Num Cars: 55
2023-08-22 19:59:47.737741 - Street: 1, Velocity: 40.0, Num Cars: 63
2023-08-22 19:59:48.446072 - Street: 2, Velocity: 0.0, Num Cars: 56
2023-08-22 19:59:49.742581 - Street: 1, Velocity: 43.9, Num Cars: 64
2023-08-22 19:59:50.450114 - Street: 2, Velocity: 0.0, Num Cars: 57
2023-08-22 19:59:51.747535 - Street: 1, Velocity: 45.0, Num Cars: 65
2023-08-22 19:59:52.454502 - Street: 2, Velocity: 0.0, Num Cars: 58
2023-08-22 19:59:53.751604 - Street: 1, Velocity: 40.9, Num Cars: 66
2023-08-22 19:59:54.457808 - Street: 2, Velocity: 0.0, Num Cars: 59
2023-08-22 19:59:55.755782 - Street: 1, Velocity: 35.9, Num Cars: 67
2023-08-22 19:59:56.461786 - Street: 2, Velocity: 0.0, Num Cars: 60
2023-08-22 19:59:57.760203 - Street: 1, Velocity: 38.2, Num Cars: 68
2023-08-22 19:59:58.465694 - Street: 2, Velocity: 0.0, Num Cars: 61
2023-08-22 19:59:59.764365 - Street: 1, Velocity: 38.2, Num Cars: 69
2023-08-22 20:00:00.470082 - Street: 2, Velocity: 0.0, Num Cars: 62
2023-08-22 20:00:01.768501 - Street: 1, Velocity: 38.1, Num Cars: 70
2023-08-22 20:00:02.474439 - Street: 2, Velocity: 0.0, Num Cars: 63
2023-08-22 20:00:03.772875 - Street: 1, Velocity: 39.0, Num Cars: 71
2023-08-22 20:00:04.478480 - Street: 2, Velocity: 0.0, Num Cars: 64
2023-08-22 20:00:05.777176 - Street: 1, Velocity: 38.4, Num Cars: 72
2023-08-22 20:00:06.481859 - Street: 2, Velocity: 0.0, Num Cars: 65
2023-08-22 20:00:07.781611 - Street: 1, Velocity: 40.3, Num Cars: 73
2023-08-22 20:00:08.485972 - Street: 2, Velocity: 0.0, Num Cars: 66
2023-08-22 20:00:09.786467 - Street: 1, Velocity: 36.8, Num Cars: 74
2023-08-22 20:00:10.489998 - Street: 2, Velocity: 0.0, Num Cars: 67
2023-08-22 20:00:11.791405 - Street: 1, Velocity: 33.9, Num Cars: 75
2023-08-22 20:00:12.494102 - Street: 2, Velocity: 0.0, Num Cars: 68
2023-08-22 20:00:13.796134 - Street: 1, Velocity: 38.6, Num Cars: 76
2023-08-22 20:00:14.498176 - Street: 2, Velocity: 0.0, Num Cars: 69
2023-08-22 20:00:15.801247 - Street: 1, Velocity: 41.8, Num Cars: 77
2023-08-22 20:00:16.502437 - Street: 2, Velocity: 0.0, Num Cars: 70
2023-08-22 20:00:17.806368 - Street: 1, Velocity: 38.6, Num Cars: 78
